"","x"
"1",18.5666666666667
"2",18.5666666666667
"3",18.0444444444444
"4",14.6
"5",15.1844444444444
"6",15.7688888888889
"7",16.3533333333333
"8",16.9377777777778
"9",17.5222222222222
"10",18.1066666666667
"11",18.6911111111111
"12",19.2755555555556
"13",19.86
"14",18.5
"15",23.96
"16",24.1375757575758
"17",24.3151515151515
"18",24.4927272727273
"19",24.670303030303
"20",24.8478787878788
"21",25.0254545454545
"22",25.2030303030303
"23",25.3806060606061
"24",25.5581818181818
"25",25.7357575757576
"26",25.9133333333333
"27",26.0909090909091
"28",26.2684848484848
"29",26.4460606060606
"30",26.6236363636364
"31",26.8012121212121
"32",26.9787878787879
"33",27.1563636363636
"34",27.3339393939394
"35",27.5115151515152
"36",27.6890909090909
"37",27.8666666666667
"38",28.8777777777778
"39",30.1888888888889
"40",28.5
"41",34.1888888888889
"42",25.4111111111111
"43",24.2333333333333
"44",26.7777777777778
"45",20.9166666666667
"46",22.22
"47",37.1
"48",23.5166666666667
"49",42.3444444444444
"50",29.3
"51",32.8333333333333
"52",32.1777777777778
"53",39.7555555555556
"54",35.9222222222222
"55",30.0666666666667
"56",29.3777777777778
"57",25.5111111111111
"58",34.8444444444444
"59",33.4888888888889
"60",33.7666666666667
"61",35.5333333333333
"62",27.8666666666667
"63",31.1833333333333
"64",29
"65",29.0222222222222
"66",37.3833333333333
"67",32.4833333333333
"68",29.15
"69",28.6333333333333
"70",28.1166666666667
"71",27.6
"72",27.0833333333333
"73",26.5666666666667
"74",32.2111111111111
"75",27.4666666666667
"76",28.4777777777778
"77",29.7625
"78",34.4166666666667
"79",32.25
"80",33.9666666666667
"81",31.6111111111111
"82",32.2666666666667
"83",35.6555555555556
"84",42.6111111111111
"85",35.425
"86",36.2
"87",32.65
"88",33.475
"89",33.6875
"90",28.9125
"91",37.5625
"92",32.6857142857143
"93",43.45
"94",52.7805555555556
"95",62.1111111111111
"96",71.0111111111111
"97",58.7777777777778
"98",52.7444444444444
"99",46.0444444444445
"100",46.3555555555556
"101",48.9222222222222
"102",44.4666666666667
"103",37.1111111111111
"104",40.9444444444444
"105",45.4888888888889
"106",43.9777777777778
"107",49.2888888888889
"108",49.8777777777778
"109",49.1333333333333
"110",48.9666666666667
"111",39.3555555555556
"112",46.5555555555556
"113",44.6
"114",40.1
"115",34.9666666666667
"116",28.45
"117",28.8875
"118",37.9222222222222
"119",36.9333333333333
"120",39.3555555555556
"121",43.1111111111111
"122",36.6333333333333
"123",36.8666666666667
"124",33.4888888888889
"125",32.9
"126",29.2555555555556
"127",30.5
"128",25.8666666666667
"129",29.1777777777778
"130",35.8333333333333
"131",36.4444444444444
"132",38.1222222222222
"133",42.0222222222222
"134",38.7666666666667
"135",35.8666666666667
"136",35.2222222222222
"137",33.8666666666667
"138",27.8111111111111
"139",27.4
"140",27.5888888888889
"141",27.6111111111111
"142",34.4666666666667
"143",43.2888888888889
"144",29.6166666666667
"145",43.0666666666667
"146",34.3444444444444
"147",34.5444444444445
"148",36.1555555555556
"149",29.9666666666667
"150",32.9888888888889
"151",31.2333333333333
"152",25.9555555555556
"153",30.0888888888889
"154",42.4333333333333
"155",46.0222222222222
"156",42.6
"157",40.0111111111111
"158",39.4666666666667
"159",38.9444444444444
"160",41.2777777777778
"161",34.2777777777778
"162",27.0555555555556
"163",33.5333333333333
"164",31.4888888888889
"165",36.5
"166",49.4333333333333
"167",52.9888888888889
"168",54.2777777777778
"169",49.8666666666667
"170",48.9333333333333
"171",42.7777777777778
"172",40.6142857142857
"173",33.15
"174",36.3
"175",28.4
"176",27.8
"177",32.975
"178",36.2875
"179",46.6
"180",41.9375
"181",34.9375
"182",34.6375
"183",33.4375
"184",38.25
"185",34.8285714285714
"186",32.1428571428571
"187",28.9857142857143
"188",31.625
"189",33.0125
"190",42.0875
"191",46.1875
"192",53.8142857142857
"193",41.8888888888889
"194",36.0208333333333
"195",42.62
"196",44.1578947368421
"197",45.9310344827586
"198",36.2833333333333
"199",33.4375
"200",37.5892857142857
"201",38.4705882352941
"202",50.5882352941176
"203",51.2280701754386
"204",48.8846153846154
"205",48.8459386767079
"206",48.8072619688004
"207",48.768585260893
"208",48.7299085529855
"209",48.691231845078
"210",48.6525551371705
"211",48.613878429263
"212",48.5752017213556
"213",48.5365250134481
"214",48.4978483055406
"215",48.4591715976331
"216",48.4204948897257
"217",48.3818181818182
"218",47.3677966101695
"219",41.5828125
"220",51.3526315789474
"221",49.509375
"222",40.1958333333333
"223",47.3674698795181
"224",49.3701298701299
"225",38.0032258064516
"226",56.1816666666667
"227",60.819512195122
"228",74.4210526315789
"229",55.0966666666667
"230",52.5660377358491
"231",40.2593220338983
"232",47.9630434782609
"233",41.7037037037037
"234",44.18
"235",38.4157894736842
"236",40.921052631579
"237",47.548717948718
"238",50.7325581395349
"239",47.0785714285714
"240",47.8472222222222
"241",48.1513513513514
"242",48.2464285714286
"243",42.5527272727273
"244",48.2243902439024
"245",51.7761904761905
"246",40.1953488372093
"247",35.4581395348837
"248",37.8339622641509
"249",40.4377777777778
"250",64.9655172413793
"251",62.6666666666667
"252",58.36875
"253",52.344
"254",63.125
"255",60.6602941176471
"256",64.1184615384615
"257",66.1418181818182
"258",52.7854166666667
"259",46.4888888888889
"260",47.4844827586207
"261",51.7333333333333
"262",62.6776119402985
"263",66.6830769230769
"264",62.0015873015873
"265",56.775
"266",47.9156862745098
"267",55.9971428571428
"268",47.2932203389831
"269",46.7047619047619
"270",42.1706896551724
"271",41.8177419354839
"272",42.0383333333333
"273",46.7984375
"274",58.9666666666667
"275",57.3622641509434
"276",60.7731707317073
"277",61.1342088805503
"278",61.4952470293934
"279",61.8562851782364
"280",62.2173233270794
"281",62.5783614759224
"282",62.9393996247655
"283",63.3004377736085
"284",63.6614759224515
"285",64.0225140712946
"286",64.3835522201376
"287",64.7445903689806
"288",65.1056285178236
"289",65.4666666666667
"290",64.0925925925926
"291",65.5942028985507
"292",63.546875
"293",54.0806451612903
"294",48
"295",45.3731343283582
"296",50.6724137931034
"297",48.34375
"298",64.4909090909091
"299",61.8983050847458
"300",71
"301",101.142857142857
"302",92.6086956521739
"303",84.2285714285714
"304",78.8148148148148
"305",78.28
"306",63.6315789473684
"307",64.4230769230769
"308",64.5909090909091
"309",64
"310",107.809523809524
"311",106.272727272727
"312",79.3809523809524
"313",91.6470588235294
"314",91.4090909090909
"315",78.8421052631579
"316",86.48
"317",94
"318",82.3846153846154
"319",73.9285714285714
"320",74.304347826087
"321",76.6
"322",111.6
"323",111.173913043478
"324",92.7407407407407
"325",55.8793103448276
"326",64.2413793103448
"327",62.796875
"328",72.4393939393939
"329",63.0704225352113
"330",54.9285714285714
"331",52.2241379310345
"332",59.2884615384615
"333",52.3818181818182
"334",61.7627118644068
"335",80.75
"336",75.578125
"337",63.3888888888889
"338",70.2295081967213
"339",69.3548387096774
"340",71.5689655172414
"341",66.7096774193548
"342",57.1969696969697
"343",45.859375
"344",52.3728813559322
"345",54.7741935483871
"346",70.0819672131148
"347",93.4745762711864
"348",94.140625
